"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.0441901009395027,0.118100467209659,0.3741738028949,0.708275012984446
"live_coral_z",-0.40407123659814,0.0926242341573556,-4.36247857025926,1.28597185828867e-05
"dead_coral_z",0.393901550836421,0.0248518507358956,15.849988599339,1.40606368672858e-56
"turf_z",0.074818165498342,0.0243197456779624,3.07643700263442,0.00209490565534686
"macroalgae_z",0.0802126344550043,0.0375114300733928,2.13835181164954,0.0324882003833662
"rock_z",-0.558392402438387,0.302873379942789,-1.84364965499399,0.0652342145115278
"invertebrate_z",0.180448161718127,0.0272521815112505,6.62142080785837,3.5576260205571e-11
"depth_to_benthos_z",0.405538385921627,0.0399432954309054,10.1528524761592,3.21817057963753e-24
"percent_N_jan_z",-0.415564873162415,0.169022732226172,-2.45863303526736,0.0139467093315673
"percent_N_may_z",-0.355137730522983,0.107014450005515,-3.31859604478348,0.000904712036890513
"jan_d15_z",0.992910597740299,0.319710837910841,3.10565198298718,0.00189860023841009
"may_d15_z",-2.63693481390799,0.43272208696891,-6.09382995071718,1.10240765437187e-09
"aug_d15_z",1.10077633501574,0.179094759504292,6.14633470048215,7.92938744664912e-10
"NHW_speed_z",-5.45568990564663,0.717127508551026,-7.60769854815636,2.7901968988871e-14
"NLW_speed_z",5.07976617989725,0.638312980652689,7.95811198246835,1.74684225126433e-15
