,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),2.492704,0.101498,24.559110,1.46E-70
dead_coral_z,0.439101,0.166957,2.630028,0.00903151
turf_z,-0.573228,0.124069,-4.620241,5.96E-06
invertebrate_z,-0.142169,0.095854,-1.483179,0.139201751
percent_N_may_z,-0.437374,0.167256,-2.615003,0.009428022
jan_d15_z,0.393008,0.207721,1.892005,0.059568172
may_d15_z,-1.014136,0.463957,-2.185841,0.029692733
aug_d15_z,-0.544877,0.200671,-2.715271,0.007052363
NHW_speed_z,-2.499173,0.761132,-3.283494,0.001161577
NLW_speed_z,1.229160,0.599429,2.050550,0.04128338
