bommie_number,siteCode,siteNumber,date,startTime,endTime,site,lat_start,lon_start,lat_end,lon_end,x_coord,y_coord,live_coral_total,dead_coral_total,turf_total,macroalgae_total,rock_total,invertebrate_total,number_total_points,proportion_live_coral,proportion_dead_coral,proportion_turf,proportion_macroalgae,proportion_rock,proportion_invertebrate,final_coralSpecies,depth,height,length,width,circumference,depth_to_benthos,L_onLive,L_onDead,D_liveOnLive,D_liveOnDead,D_deadOnLive,D_deadOnDead,tridacna,spirobranchus,total_L,total_live_D,total_D,density_L_onLive,density_L_onDead,density_D_liveOnLive,density_D_liveOnDead,density_D_deadOnLive,density_D_deadOnDead,density_tridacna,density_spirobranchus,density_total_L,density_total_live_D,density_total_D,percent_N_jan,percent_N_may,percent_N_aug,jan_d15,may_d15,aug_d15,NHW_speed,NLW_speed,ELW_speed,avg_speed,NHW_speed_offshore,NLW_speed_offshore,ELW_speed_offshore,avg_speed_offshore,distanceOutBay,L_onLive_diameter_1,L_onLive_diameter_2,L_onLive_diameter_3,L_onLive_diameter_4,avg_L_onLive_diameter,max_L_onLive_diameter,min_L_onLive_diameter,L_onDead_diameter_1,L_onDead_diameter_2,L_onDead_diameter_3,L_onDead_diameter_4,avg_L_onDead_diameter,max_L_onDead_diameter,min_L_onDead_diameter,D_onLive_diameter_1,D_onLive_diameter_2,D_onLive_diameter_3,D_onLive_diameter_4,avg_D_onLive_diameter,max_D_onLive_diameter,min_D_onLive_diameter,D_onDead_diameter_1,D_onDead_diameter_2,D_onDead_diameter_3,D_onDead_diameter_4,avg_D_onDead_diameter,max_D_onDead_diameter,min_D_onDead_diameter,notes,collector1,collector2,collector3
1,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,2,-3,0,0,11,1,0,0,12,0.000,0.000,0.917,0.083,0.000,0.000,Porites lobata,154,21,49,43,132,175,0,1,0,0,0,4,0,0,1,0,4,,5.333,,0.000,,21.333,0.000,0.000,5.333,0.000,21.333,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,2,,,,2,2,2,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
2,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,5,-4,0,0,6,0,0,0,6,0.000,0.000,1.000,0.000,0.000,0.000,Porites lobata,157,18,28,28,64,175,0,0,0,0,0,3,0,0,0,0,3,,0.000,,0.000,,32.000,0.000,0.000,0.000,0.000,32.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
3,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,10,-5,0,0,27,0,0,0,27,0.000,0.000,1.000,0.000,0.000,0.000,Porites lobata,151,29,54,46,135,180,0,0,0,1,0,8,0,0,0,1,9,,0.000,,2.370,,18.963,0.000,0.000,0.000,2.370,21.333,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.9,0.9,0.9,,Natalie Loftus,Ethan Kahn,
4,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,26,-8,0,0,16,0,0,0,16,0.000,0.000,1.000,0.000,0.000,0.000,Porites lobata,131,17,52,49,141,148,0,0,0,0,0,4,0,0,0,0,4,,0.000,,0.000,,16.000,0.000,0.000,0.000,0.000,16.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
5,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,32,-10,0,0,13,1,0,0,14,0.000,0.000,0.929,0.071,0.000,0.000,Porites lobata,103,23,70,43,146,126,0,1,0,0,0,3,0,0,1,0,3,,4.571,,0.000,,13.714,0.000,0.000,4.571,0.000,13.714,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,4.1,,,,4.1,4.1,4.1,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
6,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,33,-8,0,0,3,0,0,0,3,0.000,0.000,1.000,0.000,0.000,0.000,Porites lobata,139,21,27,23,56,160,0,0,0,0,0,2,0,0,0,0,2,,0.000,,0.000,,42.667,0.000,0.000,0.000,0.000,42.667,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
7,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,42,-9,0,0,3,2,0,0,5,0.000,0.000,0.600,0.400,0.000,0.000,Porites lobata,117,28,34,31,83,145,0,0,0,0,0,0,0,0,0,0,0,,0.000,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
8,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,48,-1,0,0,2,0,0,0,2,0.000,0.000,1.000,0.000,0.000,0.000,Porites lobata,132,25,26,18,50,157,0,2,0,0,0,2,0,0,2,0,2,,64.000,,0.000,,64.000,0.000,0.000,64.000,0.000,64.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,5.3,2,,,3.65,5.3,2,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
9,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,50,-9,0,0,2,2,0,0,4,0.000,0.000,0.500,0.500,0.000,0.000,Porites lobata,100,19,33,28,77,119,0,0,0,0,0,1,0,0,0,0,1,,0.000,,0.000,,16.000,0.000,0.000,0.000,0.000,16.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
10,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,50,-1,0,0,5,5,0,0,10,0.000,0.000,0.500,0.500,0.000,0.000,Porites lobata,144,15,52,37,117,159,0,2,0,0,0,3,0,0,2,0,3,,12.800,,0.000,,19.200,0.000,0.000,12.800,0.000,19.200,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,3.1,6.4,,,4.75,6.4,3.1,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
