bommie_number,siteCode,siteNumber,date,startTime,endTime,site,lat_start,lon_start,lat_end,lon_end,x_coord,y_coord,live_coral_total,dead_coral_total,turf_total,macroalgae_total,rock_total,invertebrate_total,number_total_points,proportion_live_coral,proportion_dead_coral,proportion_turf,proportion_macroalgae,proportion_rock,proportion_invertebrate,final_coralSpecies,depth,height,length,width,circumference,depth_to_benthos,L_onLive,L_onDead,D_liveOnLive,D_liveOnDead,D_deadOnLive,D_deadOnDead,tridacna,spirobranchus,total_L,total_live_D,total_D,density_L_onLive,density_L_onDead,density_D_liveOnLive,density_D_liveOnDead,density_D_deadOnLive,density_D_deadOnDead,density_tridacna,density_spirobranchus,density_total_L,density_total_live_D,density_total_D,percent_N_jan,percent_N_may,percent_N_aug,jan_d15,may_d15,aug_d15,avg_speed,avg_speed_offshore,distanceOutBay,L_onLive_diameter,L_onDead_diameter,D_onLive_diameter,D_onDead_diameter,notes,collector1,collector2,collector3,,,,,,,,,,,,,,,,,,,,,,,
1,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,2,-3,0,0,11,1,0,0,12,0,0,0.917,0.083,0,0,Porites lobata,154,21,49,43,132,175,0,1,0,0,0,4,0,0,1,0,4,,0.083,,0,,0.333,0,0,0.083,0,0.333,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,2,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
1,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,2,-3,0,0,11,1,0,0,12,0,0,0.917,0.083,0,0,Porites lobata,154,21,49,43,132,175,0,1,0,0,0,4,0,0,1,0,4,,0.083,,0,,0.333,0,0,0.083,0,0.333,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,day 2,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
1,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,2,-3,0,0,11,1,0,0,12,0,0,0.917,0.083,0,0,Porites lobata,154,21,49,43,132,175,0,1,0,0,0,4,0,0,1,0,4,,0.083,,0,,0.333,0,0,0.083,0,0.333,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
1,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,2,-3,0,0,11,1,0,0,12,0,0,0.917,0.083,0,0,Porites lobata,154,21,49,43,132,175,0,1,0,0,0,4,0,0,1,0,4,,0.083,,0,,0.333,0,0,0.083,0,0.333,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
2,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,5,-4,0,0,6,0,0,0,6,0,0,1,0,0,0,Porites lobata,157,18,28,28,64,175,0,0,0,0,0,3,0,0,0,0,3,,0,,0,,0.5,0,0,0,0,0.5,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
2,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,5,-4,0,0,6,0,0,0,6,0,0,1,0,0,0,Porites lobata,157,18,28,28,64,175,0,0,0,0,0,3,0,0,0,0,3,,0,,0,,0.5,0,0,0,0,0.5,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,day 2,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
2,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,5,-4,0,0,6,0,0,0,6,0,0,1,0,0,0,Porites lobata,157,18,28,28,64,175,0,0,0,0,0,3,0,0,0,0,3,,0,,0,,0.5,0,0,0,0,0.5,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,"coral lumpy, reddish, less continuous than Pocillopora meandrina, roughly in clumps of 2",Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
2,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,5,-4,0,0,6,0,0,0,6,0,0,1,0,0,0,Porites lobata,157,18,28,28,64,175,0,0,0,0,0,3,0,0,0,0,3,,0,,0,,0.5,0,0,0,0,0.5,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
3,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,10,-5,0,0,27,0,0,0,27,0,0,1,0,0,0,Porites lobata,151,29,54,46,135,180,0,0,0,1,0,8,0,0,0,1,9,,0,,0.037,,0.296,0,0,0,0.037,0.333,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,0.9,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
3,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,10,-5,0,0,27,0,0,0,27,0,0,1,0,0,0,Porites lobata,151,29,54,46,135,180,0,0,0,1,0,8,0,0,0,1,9,,0,,0.037,,0.296,0,0,0,0.037,0.333,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,day 2,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
