,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-3.207432,86.709326,-0.036991,0.970492
live_coral_z,-0.180094,0.080299,-2.242789,0.024910
dead_coral_z,0.603307,0.047088,12.812271,0.000000
turf_z,0.591500,0.093438,6.330405,0.000000
macroalgae_z,-0.657379,0.120288,-5.465058,0.000000
rock_z,-0.539641,0.227387,-2.373228,0.017633
invertebrate_z,-0.009436,0.066102,-0.142748,0.886489
depth_to_benthos_z,-0.060886,0.217020,-0.280553,0.779053
percent_N_jan_z,-0.009741,53.460789,-0.000182,0.999855
percent_N_may_z,-3.415503,235.017725,-0.014533,0.988405
percent_N_aug_z,19.504954,1045.046530,0.018664,0.985109
jan_d15_z,-25.192260,1365.108809,-0.018454,0.985276
may_d15_z,18.827151,1173.965312,0.016037,0.987205
aug_d15_z,-30.706886,1645.818419,-0.018658,0.985114
NHW_speed_z,22.478730,1185.724592,0.018958,0.984875
NLW_speed_z,-36.302458,1839.593248,-0.019734,0.984256
