"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"live_coral_total",0.104167258865287,0.10393629981662,-0.156378509683861,-0.619247260169934,0.0139878741484199,0.17352546306401,-0.150465920103325,-0.00401485417891554,0.113520072420525,0.129375582261193,-0.00755848172490767,0.0453341818226046,-0.0125624101376484,0.466060718969969,-0.0175398819877543,0.0397716408225874,-0.0411290092120623,0.071156412187103,-0.0110967534765523,-0.509380459299685,-0.0108965530330841,-1.57460791018583e-15,0,-1.96700542382726e-15,0,0,0,2.16185855927872e-15
"dead_coral_total",0.118225138226474,0.120906551998851,-0.151256997107502,0.348556628499678,0.0125702498038255,0.417663073406833,0.428918751026488,-0.309557943346259,-0.165925519427333,-0.0960774290300724,0.0647087914204928,-0.0971496849847161,0.158405465819016,0.179745008921853,-0.0438365296994272,0.0298452700395058,-0.0564246750359861,0.0568846223460951,-0.00984887853352085,-0.213762290573889,0.458066423611002,9.44728473673674e-16,-1.06128624231367e-15,-2.13923985624222e-15,-6.61535792054904e-16,2.86394405416013e-15,-3.26829042851289e-16,9.73345609511045e-16
"turf_total",0.0817859683490765,0.265808444319276,0.190174646431427,0.115021227767773,0.0229161391574302,-0.450453527165594,-0.220915002640942,0.275986379104106,0.0897446689567784,-0.394237654607618,0.212367963716338,0.202698002330908,0.187629407937926,0.0867894892916831,-0.119914791397468,0.0274091661879364,-0.00695129819552015,-0.00278055034043964,-0.0159282124394175,-0.210059151459936,0.439190727365581,7.71677584522513e-16,-1.10627228605404e-15,-1.95978870499554e-15,-3.78265627705171e-16,2.3833500486372e-15,3.86722960855266e-17,1.15162528845191e-15
"macroalgae_total",0.0836381000093892,0.259313978790556,0.162370955849411,0.200088213852444,-0.0457908947227181,-0.285311557542102,-0.139633838524104,-0.167153351576743,-0.213020120619244,0.685192323472538,-0.242622577242356,0.0742409329328821,-0.266281255135609,0.0505946382190877,-0.0149767204535009,-0.00827307950519729,0.0185692520408515,-0.074633718061387,0.0162451319802457,-0.106894981402925,0.24045107951604,3.99812185858589e-16,-5.14512121782412e-16,-8.93408525102662e-16,-3.2722997872344e-16,1.11472116720324e-15,-1.55718246100157e-17,3.41771403101653e-16
"number_total_points",0.194504406559995,0.334046573142056,-0.0459536141847809,-0.133540239166077,0.0123273476539515,0.0352313428307499,-0.0302576434109618,-0.0663849346331149,-0.0252633108929109,0.0216671403585919,0.0750046910095896,0.106010196446977,0.0906049940908665,0.456149721647154,-0.103279948526764,0.0534276761942829,-0.0536857721414011,0.0814653952929158,0.00146481625035026,0.752549410673849,0.0171551749900434,2.39694259399211e-15,5.27356256979775e-16,2.94508957609891e-15,-3.81907918144497e-16,-3.77514221962725e-16,2.21230465949758e-16,-2.99481774162521e-15
"height",0.175899277128427,0.18493978883734,0.0329689007177851,-0.0788810128085728,0.028189290605424,0.303434176205657,-0.190501346359215,0.0243868304403302,-0.379094117876716,-0.116604896906667,0.486719892618974,0.242830320461805,-0.470949874286604,-0.244733426823767,0.24717792954296,-0.0272762275475668,0.0131605814424993,-0.025189111002836,-0.0153027941454314,-0.00721353622198223,0.000459554042134686,2.2814405946176e-17,-1.53900372322392e-16,-2.00470370124111e-16,3.17621308573471e-16,-8.05247340112591e-17,1.80214924477292e-16,-1.35699936521696e-16
"length",0.17400966125026,0.349247520439988,-0.100139710499638,-0.0905608773788405,0.0700743043574062,-0.0239282662998872,0.0396037373494819,-0.0198849654928997,0.143477801036972,0.0110815350691934,-0.0869126589999839,-0.192450094341229,0.0137742970374125,-0.336158476902098,-0.0345766987192949,-0.0354384851900373,0.500973573847344,0.624355286288588,0.0114623257037311,-0.0140577008560297,-0.00211424562128598,5.87014390202721e-16,-4.49678741844943e-16,-3.05790257173824e-17,3.12758272385639e-16,6.07746304555203e-16,3.93171835450004e-17,-1.65537096052571e-16
"width",0.185824809625707,0.320399752302039,-0.102414611264806,-0.111677552746907,0.0408481702897359,-0.0707026670080319,0.0519259081986706,-0.0254584563969556,0.178600241645985,-0.0256282377500999,-0.121165894036856,-0.206046261897487,-0.0146735846257937,-0.35167065640355,0.117025261639542,0.103386597308135,-0.766451119123235,0.0413167740857466,0.0520968949295211,-0.00154338236026971,-0.00272419412891678,-3.92360878749761e-16,4.62773510639443e-16,1.60235829747388e-16,-3.7417310568659e-16,1.18094600777952e-16,4.48705601238234e-17,3.8210569425271e-16
"circumference",0.183870251200849,0.33232677967949,-0.0858913857252296,-0.129535557559439,0.0791423098157837,0.058377743850388,0.0595952572637798,-0.0296448879282049,0.175882972200082,-0.0383847974215402,-0.0442275865003442,-0.215359321206669,0.0886049786170511,-0.156025184784272,0.0118499265803901,-0.147320124356105,0.334845676843065,-0.755025631569413,-0.0162244766545847,0.015802913061928,0.00337702428884615,-1.88937430951178e-16,-3.11033193316957e-16,-1.44037678904337e-16,1.38849560151055e-16,-2.81631407502239e-16,-2.00094376028708e-16,-3.10224055458709e-16
"depth_to_benthos",0.055891115112852,-0.0699991267279864,-0.241411486279554,0.286521401877619,0.324639665363905,0.15024782584448,-0.213488860005003,-0.223311485650052,0.598969353807769,0.0802633207777032,0.0154462971305358,0.489514308970335,-0.100745405383006,-0.0451293129211225,-0.0257940106548382,-0.0911776485567015,-0.0167657725532723,0.000171794063887035,0.0409356784930771,0.000518930927116075,-0.000107126871530428,1.96030191832209e-16,8.08832017240385e-18,-8.70832192298768e-17,-1.70774911021102e-16,4.42685997567178e-17,-1.00231264657147e-16,4.64001329180644e-17
"tridacna",0.103772576120865,0.0547564050723253,-0.098446488884723,0.0829970805596031,0.175033385686417,0.119405721320569,0.440632805548322,0.777756152018785,0.0261073600293001,0.187973046752584,-0.146157982616334,0.217970254911122,-0.120825158537098,0.0593807107413592,0.0513867578477576,-0.00192886404590316,-0.00199048141365136,-0.00501657445401928,-0.00164762000279449,0.000875145239738667,0.00246659805459963,5.23322006721159e-17,-3.83304476941688e-17,-3.09619196249678e-17,-2.12592623364383e-16,-7.75363758523139e-17,1.14518716641575e-16,-1.3382088236008e-16
