"","var_explained","PC"
"1","0.411093350077254","PC1"
"2","0.148543975811483","PC2"
"3","0.106833374079898","PC3"
"4","0.0590220157918399","PC4"
"5","0.0585217083132909","PC5"
"6","0.041331726900416","PC6"
"7","0.0353068598113124","PC7"
"8","0.0298306341831168","PC8"
"9","0.0229632268189759","PC9"
"10","0.0204296246724923","PC10"
"11","0.0187383493881722","PC11"
"12","0.016281854435729","PC12"
"13","0.0113435526369636","PC13"
"14","0.00758455982805533","PC14"
"15","0.00538796220390693","PC15"
"16","0.00259399784111058","PC16"
"17","0.00210445515114012","PC17"
"18","0.00153305188502678","PC18"
"19","0.000520993404472621","PC19"
"20","3.36858297205383e-05","PC20"
"21","1.04093562305952e-06","PC21"
"22","1.32641172597361e-32","PC22"
"23","9.41179207870652e-33","PC23"
"24","6.97184258887189e-33","PC24"
"25","4.75566368732979e-33","PC25"
"26","3.94661916246106e-33","PC26"
"27","3.2312345614758e-33","PC27"
"28","1.9486679848966e-33","PC28"
